TEXT_REMARKS,ACTION_CATEGORY,PREDICTED_DEPARTMENT,CONFIDENCE_SCORE,CONFIDENCE_RANGE,MATCH_STATUS
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
RTC found fail therefore meter is defective hence Replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct
ELT SHOWING IN EXTERNAL LOAD SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.52,100-90% Very High,Correct
meter ELT glow on external load at the time of testing so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.35,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter CURRENT PARAMETER ABNORMAL AT A TIME OF TESTING SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.42,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
meter RTc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter RTC fail at the time of testing so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
meter outgoing terminal burnt so meter defective meter need to replacment,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.09,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
RTC is corrupt hence Meter replacement is required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
meter display figgure upset not proper so meter defective need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.0,100-90% Very High,Correct
Meter Outgoing terminal found burntMeter need to be replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.65,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter display found defective at time of testing so meter need to be charged,Meter Replacement / Installation Team,Meter Replacement / Installation Team,97.78,100-90% Very High,Correct
Meter ELT is glowing on external load so meter is defective need to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.74,100-90% Very High,Correct
meter tested as per safety norms meter ELT ON external load so Meter defective meter need to replacment,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.02,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Current Parameter of Phase and Neutral is not matching therefore same is defective therefore same needs to be replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.43,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
