SR_NO,TEXT_REMARKS,ACTION_CATEGORY,HOLD_CANCEL_REASON,processed_text
571,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
573,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
575,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
576,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
577,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
578,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
579,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
580,meter tested as per safety norms,,,meter test safety norm
581,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
582,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
583,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
584,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
585,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
586,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
588,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
589,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
590,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
591,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
592,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
593,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
594,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
595,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
596,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
597,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
598,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
599,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
603,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
604,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
605,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
